Score,Name of the Person,Quote,Video Title,Link to Video,Timestamp
5,2020 SLI Presentation Teaser Speaker,we're about to give three different perspectives of problems the school district's face when it comes to facility renovation there's a famous quote from Thomas,2020 SLI Presentation Teaser,https://vimeo.com/430401401#t=0s,[00:00]
4,2020 SLI Presentation Teaser Speaker,Edison There's A Better Way find it there's a better way find it we are trying to find the better way constantly and we really,2020 SLI Presentation Teaser,https://vimeo.com/430401401#t=12s,[00:12]
5,2020 SLI Presentation Teaser Speaker,believe that all school districts want to find the better way as well if they're willing to search if they're willing to think about things,2020 SLI Presentation Teaser,https://vimeo.com/430401401#t=23s,[00:23]
4,2020 SLI Presentation Teaser Speaker,and maybe a little bit of a different way,2020 SLI Presentation Teaser,https://vimeo.com/430401401#t=34s,[00:34]
1,Banquete - before and after Speaker,what,Banquete - before and after,https://vimeo.com/1124993297#t=0s,[00:00]
4,BiCARBUS Video Project Speaker,distance to Shelbyville water department that their water that they're getting from their Wells and also from their surface water which is they consider is,BiCARBUS Video Project,https://vimeo.com/1172176967#t=0s,[00:00]
5,BiCARBUS Video Project Speaker,called brackish can it become useful and can it become non depositing so the water is exactly one and a half times less mineralized coming,BiCARBUS Video Project,https://vimeo.com/1172176967#t=25s,[00:25]
4,BiCARBUS Video Project Speaker,out of that well right there that white building is where the well comes out and then they pump it into the lake then from,BiCARBUS Video Project,https://vimeo.com/1172176967#t=48s,[00:48]
4,BiCARBUS Video Project Speaker,the pond it goes into that building and that's where all the pumps are and so from the Blackwell it's less mineralized the pond that,BiCARBUS Video Project,https://vimeo.com/1172176967#t=68s,[01:08]
4,BiCARBUS Video Project Speaker,gets more mineralized because the ponds evaporating all the time leaving behind the solids then from that well it goes to golf course ballparks and,BiCARBUS Video Project,https://vimeo.com/1172176967#t=89s,[01:29]
4,BiCARBUS Video Project Speaker,then the football field and so what we're going to do is run over and get the number at the football field and then a,BiCARBUS Video Project,https://vimeo.com/1172176967#t=114s,[01:54]
4,BiCARBUS Video Project Speaker,number at the far end of the football field where they're going to turn the sprinkler what does then what will happen is will come,BiCARBUS Video Project,https://vimeo.com/1172176967#t=133s,[02:13]
4,BiCARBUS Video Project Speaker,back here will put my car service in the well and just turn it on and let it let it flow it'll show how fast,BiCARBUS Video Project,https://vimeo.com/1172176967#t=154s,[02:34]
4,BiCARBUS Video Project Speaker,and how thorough it is in eliminating all the files film what are the microbes in the distribution system they can replicate that into their,BiCARBUS Video Project,https://vimeo.com/1172176967#t=172s,[02:52]
4,BiCARBUS Video Project Speaker,whole city distribution system Tiffany Is 1920 Beautiful cuz that's my car is 200 points is by Carver CVS is 722.85 and then 4:00 p.m.,BiCARBUS Video Project,https://vimeo.com/1172176967#t=195s,[03:15]
4,BiCARBUS Video Project Speaker,the the reduction oxidation potential is the higher that number is there is zero microbes they're not not even the little membranes or the body,BiCARBUS Video Project,https://vimeo.com/1172176967#t=217s,[03:37]
4,BiCARBUS Video Project Speaker,parts are not there if they're fully oxidized we got it we got a 2.225% purpose,BiCARBUS Video Project,https://vimeo.com/1172176967#t=241s,[04:01]
5,Tom Woody,current projections for us for the district is that will double in size over the next 8 years and classroom space is that a premium,"Boyd ISD, case study",https://vimeo.com/1179578579#t=0s,[00:00]
5,Tom Woody,what are needed one additional school to handle probably the next 8 to 10 years and 15 plus years we address those and got new,"Boyd ISD, case study",https://vimeo.com/1179578579#t=12s,[00:12]
7,Brandon Hopkins,units from E3 we didn't have enough to be able to get to the scope of a project without looking at a bond we were,"Boyd ISD, case study",https://vimeo.com/1179578579#t=25s,[00:25]
7,Brandon Hopkins,able to address Energy Management District on campus and 8335 new units very pleased with the energy management solution that they brought to us when,"Boyd ISD, case study",https://vimeo.com/1179578579#t=36s,[00:36]
4,Brandon Hopkins,he came out we we had some issues with some other units they didn't there was no change order type of expense put on that,"Boyd ISD, case study",https://vimeo.com/1179578579#t=51s,[00:51]
4,Brandon Hopkins,so they were real good about just taking care of it without the change order we use D3 as a resource for architecture reach out,"Boyd ISD, case study",https://vimeo.com/1179578579#t=63s,[01:03]
5,Brandon Hopkins,to on some of the specs and things that they were writing for the campus that we're looking at next Tuesday for the HVAC we,"Boyd ISD, case study",https://vimeo.com/1179578579#t=75s,[01:15]
4,Brandon Hopkins,use a different a different company the last time we did not have boots on the ground like it either Daniel did and it was,"Boyd ISD, case study",https://vimeo.com/1179578579#t=88s,[01:28]
4,Brandon Hopkins,just a lot tougher to get a hold of them to get them out here and this was a lot quicker a lot easier a,"Boyd ISD, case study",https://vimeo.com/1179578579#t=100s,[01:40]
9,Brandon Hopkins,lot just a lot better experience it was some about where we were going with this and and E3 you know we just did not,"Boyd ISD, case study",https://vimeo.com/1179578579#t=110s,[01:50]
6,Brandon Hopkins,see a single problem as we went through this process so it's been a great experience,"Boyd ISD, case study",https://vimeo.com/1179578579#t=121s,[02:01]
1,Boyd ISD Speaker,OK Google,Boyd ISD HVAC upgrades,https://vimeo.com/1065940484#t=0s,[00:00]
4,Paul Buckner,part of my role with Brian ISD is director of construction and energy management is to not only build safe and beautiful buildings for our,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=0s,[00:00]
9,Paul Buckner,students to go to but to have that learning environment that they want to go to the number one Focus was probably LED lighting people,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=10s,[00:10]
5,Paul Buckner,can come and look at a building and see that you made an impact with better quality lighting and also gaining a big energy reduction,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=19s,[00:19]
5,Paul Buckner,by using LEDs going through the state energy conservation office gave us the ability to do these projects with without a huge Capital Outlet we,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=29s,[00:29]
1,Paul Buckner,were able to settle on the loan and go from there with a almost seven million dollar Energy Efficiency project the benefits that we saw,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=40s,[00:40]
8,Paul Buckner,when we went who was selected was their experience with Energy Efficiency projects through the mechanical side of things and the LED lighting and their,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=49s,[00:49]
5,Paul Buckner,knowledge on that aspect but also the knowledge and experience they had with the state energy conservation office utilizing design build for this project made,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=61s,[01:01]
4,Paul Buckner,the most sense for us design build process gave us that flexibility to design it as well as make alterations during it without having to,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=72s,[01:12]
4,BAS Alarm,go through all of the paperwork that's involved and with changes and with contingency funds and everything that comes along with the other procurement methods,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=82s,[01:22]
10,BAS Alarm,whether its construction manager at risk or competitive proposals through the construction process with E3 it was simple it was one of the least stressful,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=94s,[01:34]
4,BAS Alarm,project are you monitoring the general contractor the subcontractors anything everything was after hours or weekends holidays there was really never an impact to anything,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=105s,[01:45]
7,BAS Alarm,with the school day and instructional learning teachers would leave they would come back the next day and their classroom would be changed over to,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=117s,[01:57]
6,BAS Alarm,LED lighting and they had no idea that it was even happening,"Bryan ISD SECO LoanSTAR Project, case study",https://vimeo.com/622731248#t=128s,[02:08]
8,Administr Atic,the Board of Trustees for Caldwell ISD voted unanimously to call for a bond election for November 6th 2018 with feedback from community members and,Caldwell ISD Bond Video,https://vimeo.com/290994173#t=0s,[00:00]
6,Administr Atic,assistance from CISD staff a comprehensive program addressing school safety academics campus remodels and essential equipment was developed the bond proposal includes additions and or,Caldwell ISD Bond Video,https://vimeo.com/290994173#t=11s,[00:11]
5,The Hornets,renovations to all CISD schools district white safety projects include fire alarms security cameras entries electrical improvements and Ada improvements the Intermediate School proposal includes,Caldwell ISD Bond Video,https://vimeo.com/290994173#t=25s,[00:25]
6,Safety Projects,a complete Remodel and conversion to 7th and 8th grade remodeled band hall science labs weight room and gym dressing rooms the high school plan,Caldwell ISD Bond Video,https://vimeo.com/290994173#t=41s,[00:41]
5,Safety Projects,includes new stem learning spaces elimination of Portables and Gem and AG facility upgrades the middle school projects include a complete Remodel and conversion to,Caldwell ISD Bond Video,https://vimeo.com/290994173#t=52s,[00:52]
5,Safety Projects,pre-k through 3rd in addition to connect the building and cafeteria and a new gym the elementary school plan includes converting the existing Elementary to,Caldwell ISD Bond Video,https://vimeo.com/290994173#t=65s,[01:05]
8,Safety Projects,a fourth through Sixth Grade Campus other considerations include High School air conditioning replacement and LED lighting upgrades there will be two propositions to consider,Caldwell ISD Bond Video,https://vimeo.com/290994173#t=77s,[01:17]
4,Safety Projects,early voting will run from October 22nd through November 2nd and election day is November 6th for more information including locations estimated tax impact and,Caldwell ISD Bond Video,https://vimeo.com/290994173#t=91s,[01:31]
1,Safety Projects,ballot language please visit,Caldwell ISD Bond Video,https://vimeo.com/290994173#t=103s,[01:43]
4,Andrew Peters,the system was over 30 years old was costing us a lot of money to have repairs and it wasn't providing a good temperature an,"Caldwell ISD, case study",https://vimeo.com/290317803#t=0s,[00:00]
5,Andrew Peters,even temperature throughout the building so sometimes students would be struggling in one room and be hot and sweaty and extremely be freezing cold the,"Caldwell ISD, case study",https://vimeo.com/290317803#t=9s,[00:09]
7,Andrew Peters,savings we would get would actually pay for itself over the course of a few years so let's improve the lighting as well just make,"Caldwell ISD, case study",https://vimeo.com/290317803#t=20s,[00:20]
4,Andrew Peters,good sense to do it all the same time from a maintenance standpoint with the limited number of employees we will probably not have to,"Caldwell ISD, case study",https://vimeo.com/290317803#t=29s,[00:29]
4,Brady Beavers,do any light work for the next 20 years more than maybe changing a bold there's no more ballast there's no more flickering bulbs we,"Caldwell ISD, case study",https://vimeo.com/290317803#t=39s,[00:39]
4,Weather Expert,went in not really have any predetermined idea of who we wanted to do the job we just needed it period they were designing it,"Caldwell ISD, case study",https://vimeo.com/290317803#t=49s,[00:49]
7,Weather Expert,and they were making sure it was installed right the war was comfortable with them and it was a very easy process the biggest challenge,"Caldwell ISD, case study",https://vimeo.com/290317803#t=58s,[00:58]
9,Weather Expert,E3 had was to have air conditioner by the start of school this year which they exceeded we had to have everything buttoned up within,"Caldwell ISD, case study",https://vimeo.com/290317803#t=68s,[01:08]
5,Weather Expert,about a week and they jump through hoops to make sure we were ready to start school I think the most important thing that we,"Caldwell ISD, case study",https://vimeo.com/290317803#t=77s,[01:17]
6,Weather Expert,liked about it was that they communicated regularly not just with me as the superintendent and director of operations but they communicated daily with the,"Caldwell ISD, case study",https://vimeo.com/290317803#t=86s,[01:26]
6,Weather Expert,principal who was responsible for the building very early on E3 brought in their Engineers met with us and we found the engineering us and,"Caldwell ISD, case study",https://vimeo.com/290317803#t=98s,[01:38]
1,Weather Expert,his design,"Caldwell ISD, case study",https://vimeo.com/290317803#t=108s,[01:48]
1,Carrizo Springs - community update 1-20-26 Speaker,go OK Google,Carrizo Springs - community update 1-20-26,https://vimeo.com/1161564113#t=0s,[00:00]
1,Carrizo Springs - community update June 2026 Speaker,go OK Google,"Carrizo Springs - community update, June 2026",https://vimeo.com/1161564113#t=0s,[00:00]
1,Carrizo Springs June 2026 update Speaker,go,"Carrizo Springs, June 2026 update",https://vimeo.com/1198512235#t=0s,[00:00]
1,Carrizo Springs June 2026 update Speaker,go OK Google,Carrizo Springs June 2026 update,https://vimeo.com/1199494787#t=0s,[00:00]
6,City of Natalia - before Speaker,hi my name is Nicole Berman I'm the city administrator for the city of Natalia we are looking forward to having E3 help us with,City of Natalia - before,https://vimeo.com/1006372135#t=0s,[00:00]
4,City of Natalia - before Speaker,our issues at the wastewater treatment plant and other areas in our city and hopefully help us to secure much-needed Grant funds for our project,City of Natalia - before,https://vimeo.com/1006372135#t=15s,[00:15]
8,Cleaner Water for Timpson Texas E3s BiCARBUS Technology in Action Speaker,in the heart of Timpson Texas a new chapter in water safety is beginning the city is partnered with design-build contractor E3 to reduce tth,"Cleaner Water for Timpson, Texas | E3's BiCARBUS Technology in Action",https://vimeo.com/1195770056#t=0s,[00:00]
8,Cleaner Water for Timpson Texas E3s BiCARBUS Technology in Action Speaker,Ms chemical byproducts that can form during water treatment and deliver cleaner safer water for its community at the core of this transformation is e3's,"Cleaner Water for Timpson, Texas | E3's BiCARBUS Technology in Action",https://vimeo.com/1195770056#t=11s,[00:11]
6,Cleaner Water for Timpson Texas E3s BiCARBUS Technology in Action Speaker,Leading Edge by carbis technology designed to establish microbial control in groundwater before they can form harmful byproducts paired with a high efficiency air stripper,"Cleaner Water for Timpson, Texas | E3's BiCARBUS Technology in Action",https://vimeo.com/1195770056#t=23s,[00:23]
4,Cleaner Water for Timpson Texas E3s BiCARBUS Technology in Action Speaker,the system will remove TT HMS and Elevate overall water quality this nearly 1 million dollar Investments Advance Auto metering technology giving the city water,"Cleaner Water for Timpson, Texas | E3's BiCARBUS Technology in Action",https://vimeo.com/1195770056#t=36s,[00:36]
8,Cleaner Water for Timpson Texas E3s BiCARBUS Technology in Action Speaker,consumption data and insight funded through a performance rebuilding program the project reflects a forward-thinking approach to infrastructure E3 continues to redefine Municipal Water Solutions,"Cleaner Water for Timpson, Texas | E3's BiCARBUS Technology in Action",https://vimeo.com/1195770056#t=49s,[00:49]
7,Cleaner Water for Timpson Texas E3s BiCARBUS Technology in Action Speaker,restoring systems extending lifespan and helping communities move forward with confidence cleaner water smarter systems stronger communities E3 built for what's next,"Cleaner Water for Timpson, Texas | E3's BiCARBUS Technology in Action",https://vimeo.com/1195770056#t=64s,[01:04]
6,Andrew Peters,they communicated regularly not just with me is the superintendent and the director of operations but they communicated daily with the principal who is responsible,Communicated daily,https://vimeo.com/671225924#t=0s,[00:00]
1,Andrew Peters,for the building,Communicated daily,https://vimeo.com/671225924#t=12s,[00:12]
1,Award Winner,I love the family atmosphere getting to see everybody and get together as a group and just love on each other it's one of the,DaVinci Award.mp4,https://vimeo.com/797590204#t=0s,[00:00]
8,Award Wander,wonderful things about E3 and something that just stands out from other companies that you just don't get this experience with anybody else,DaVinci Award.mp4,https://vimeo.com/797590204#t=37s,[00:37]
4,Paul Buckner,when you come across unforeseen actions is it something with a with a competitive still proposal or or something where I have contingencies involved once,Design build allowed Director of Construction to avoid asking for more funding,https://vimeo.com/670008583#t=0s,[00:00]
