Full Name,Title,Portrait Link
Tom Woody,"Superintendent, Boyd ISD",vimeo_downloads/portraits/Tom_Woody.png
Brandon Hopkins,"Director of Operations, Boyd ISD",vimeo_downloads/portraits/Brandon_Hopkins.png
Paul Buckner,"Director of Construction and Facilities, Bryan ISD",vimeo_downloads/portraits/Paul_Buckner.png
Energy Management,Director of Construction and,vimeo_downloads/portraits/Energy_Management.png
BAS Alarm,Representative,vimeo_downloads/portraits/BAS_Alarm.png
Administr Atic,Representative,vimeo_downloads/portraits/Administr_Atic.png
The Hornets,Representative,vimeo_downloads/portraits/The_Hornets.png
Ball Champs,Representative,vimeo_downloads/portraits/Ball_Champs.png
Safety Projects,Representative,vimeo_downloads/portraits/Safety_Projects.png
Andrew Peters,Superintendent of Schools,vimeo_downloads/portraits/Andrew_Peters.png
Brady Beavers,Director of Operations,vimeo_downloads/portraits/Brady_Beavers.png
Weather Expert,Representative,vimeo_downloads/portraits/Weather_Expert.png
Marisa Tobias,"Director of Federal Programs, Carrizo Springs CISD",vimeo_downloads/portraits/Marisa_Tobias.png
Award Winner,Representative,vimeo_downloads/portraits/Award_Winner.png
Award Winder,Representative,vimeo_downloads/portraits/Award_Winder.png
Award Cinder,Representative,vimeo_downloads/portraits/Award_Cinder.png
Award Winter,Representative,vimeo_downloads/portraits/Award_Winter.png
Award Wander,Representative,vimeo_downloads/portraits/Award_Wander.png
Award Waber,Representative,vimeo_downloads/portraits/Award_Waber.png
Award Wiraer,Representative,vimeo_downloads/portraits/Award_Wiraer.png
Award Virger,Representative,vimeo_downloads/portraits/Award_Virger.png
Award Widher,Representative,vimeo_downloads/portraits/Award_Widher.png
Award Wianer,Representative,vimeo_downloads/portraits/Award_Wianer.png
Tim Evans,"VP, E3 LIGHTING",vimeo_downloads/portraits/Tim_Evans.png
James Hartman,SUPERINTENDENT,vimeo_downloads/portraits/James_Hartman.png
Business Development,Representative,vimeo_downloads/portraits/Business_Development.png
Adam Quinn,Representative,vimeo_downloads/portraits/Adam_Quinn.png
Morris Lyon,SUPERINTENDENT,vimeo_downloads/portraits/Morris_Lyon.png
Hawkins Iso,SUPERINTENDENT,vimeo_downloads/portraits/Hawkins_Iso.png
Were Haddens,Representative,vimeo_downloads/portraits/Were_Haddens.png
Jason Brinkley,Representative,vimeo_downloads/portraits/Jason_Brinkley.png
Cooke Coul,Representative,vimeo_downloads/portraits/Cooke_Coul.png
Mike Craft,Representative,vimeo_downloads/portraits/Mike_Craft.png
Klip Weaver,"PRESIDENT, E3",vimeo_downloads/portraits/Klip_Weaver.png
Don Meek,"VP of Operations, E3",vimeo_downloads/portraits/Don_Meek.png
Eric Beam,DEPUTY SUPERINTENDENT,vimeo_downloads/portraits/Eric_Beam.png
Rick Foreman,"SUPERINTENDENT, TRENTON ISD",vimeo_downloads/portraits/Rick_Foreman.png
Stetson Roane,"SUPERINTENDENT, SEGUIN ISD",vimeo_downloads/portraits/Stetson_Roane.png
Bob Atkins,DIRECTOR OF MAINTENANCE,vimeo_downloads/portraits/Bob_Atkins.png
Fernando Castillo,"SUPERINTENDENT, DONNA ISD",vimeo_downloads/portraits/Fernando_Castillo.png
Velma Rangel,CHIEF SPECIAL PROGRAMS OFFICER,vimeo_downloads/portraits/Velma_Rangel.png
Rudy Rodriguez,"Director of Maintenance, Edcouch-Elsa ISD",vimeo_downloads/portraits/Rudy_Rodriguez.png
Hondo Inderendons,Representative,vimeo_downloads/portraits/Hondo_Inderendons.png
Sonny Fletcher,Senior Director Facility Planning,vimeo_downloads/portraits/Sonny_Fletcher.png
Shogun Inferno,Representative,vimeo_downloads/portraits/Shogun_Inferno.png
Oversized Load,Representative,vimeo_downloads/portraits/Oversized_Load.png
Maut Cosb,Representative,vimeo_downloads/portraits/Maut_Cosb.png
Take Control,Representative,vimeo_downloads/portraits/Take_Control.png
Business Developmer,Representative,vimeo_downloads/portraits/Business_Developmer.png
General Obligation Bonds,Representative,vimeo_downloads/portraits/General_Obligation_Bonds.png
Upcoming Opportunities,Representative,vimeo_downloads/portraits/Upcoming_Opportunities.png
Lance Wyatt,Representative,vimeo_downloads/portraits/Lance_Wyatt.png
Aging Infrastructure,Representative,vimeo_downloads/portraits/Aging_Infrastructure.png
Process Flow,• Construction Manager at Risk,vimeo_downloads/portraits/Process_Flow.png
Contractual Alignment,Manager @ Risk,vimeo_downloads/portraits/Contractual_Alignment.png
Design-Build Entity,Manager @ Risk,vimeo_downloads/portraits/Design_Build_Entity.png
Including Specialty,Representative,vimeo_downloads/portraits/Including_Specialty.png
